,source,author,title,price
33,https://d7hftxdivxxvm.cloudfront.net?height=334&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fb7vT4WL1qJpPaosUsZX4jw%2Flarger.jpg&width=445,Sandra Chevrier,"La Cage quand le roi de la nuit la berce tendrement, 2015","US$7,000–US$10,000 "
34,https://d7hftxdivxxvm.cloudfront.net?height=1011&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FOfEEwU-kzsZqUxGJChME9w%2Flarger.jpg&width=445,Karel Appel,"Untitled (Personnage), 1977","£66,500 "
35,https://d7hftxdivxxvm.cloudfront.net?height=593&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FhW0oDxazsXdtjbe4aDp2uw%2Flarger.jpg&width=445,Pau Escat,"Untitled, 2023","€2,900 "
36,https://d7hftxdivxxvm.cloudfront.net?height=585&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2Fst2Ef0xLzuT5v0PxaK6ieg%2Flarger.jpg&width=445,Alexej von Jawlensky,"Große Meditation: Bevor es Nacht wird (Large Meditation: before Night comes), 1936","€185,000 "
37,https://d7hftxdivxxvm.cloudfront.net?height=334&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FEqE1Ws_liLW1hTAJs_VRRA%2Flarger.jpg&width=445,David Ligare,"Candles and Flowers , 2017","US$24,000 "
38,https://d7hftxdivxxvm.cloudfront.net?height=839&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FXHiYpO49n0QaNtcIaOgHOQ%2Flarger.jpg&width=445,Jeremy Mann,"Mother , 2018","US$16,000 "
39,https://d7hftxdivxxvm.cloudfront.net?height=585&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F2doukpJe5nhFC9wZUlSdqA%2Flarger.jpg&width=445,Modern Toss,"Major Face Quill, 2022",£420 
40,https://d7hftxdivxxvm.cloudfront.net?height=824&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F6QN9oK7RqkLbpod-HtACYw%2Flarger.jpg&width=445,Erró,"hot chocolate, 1990","€11,500 "
41,https://d7hftxdivxxvm.cloudfront.net?height=334&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2F-482knklSxSYBOWdV6isHw%2Flarger.jpg&width=445,Mimi Lauter,"Untitled, 2022","US$25,000 "
42,https://d7hftxdivxxvm.cloudfront.net?height=445&quality=80&resize_to=fill&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FpSFipe7S_J4k0ZWD1svJ-A%2Flarger.jpg&width=445,Vivian Springford,"Yellow and Rose #50 (Expansionist Series), 1976","US$200,000 "
43,https://d7hftxdivxxvm.cloudfront.net?height=350&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FTSGf7TmL3HG6qWEae7kL8w%2Flarger.jpg&width=445,SEEN,"Spaceship, 2015","US$15,000 "
44,https://d7hftxdivxxvm.cloudfront.net?height=332&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FUrxEhn_xwKCbXb2flkAtXg%2Flarger.jpg&width=445,Tilo Baumgärtel,"untitled, 2022","€9,000–€13,000 "
45,https://d7hftxdivxxvm.cloudfront.net?height=529&quality=80&resize_to=fit&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FSXDR098tr_l-BzxHdAXxYA%2Flarger.jpg&width=445,Taehoon Park,"Parktaeria(Untitled), 2022","KRW ₩2,000,000 "
